"","species","species_comp","type","species_comp_source","local_name_ST","local_name_PC","Family","FoodTroph","DietTroph","EstTroph"
"157","Carcharhinus signatus","Carcharhinus signatus","Selachimorpha","Picture ID",NA,NA,"Carcharhinidae",4.5,4.63,4.28999996185303
"158","Carcharhinus sp.","Carcharhinus falciformis, Carcharhinus limbatus","Selachimorpha","Picture ID",NA,NA,"Carcharhinidae",NA,NA,4.35999989509583
"159","Galeocerdo cuvier","Galeocerdo cuvier","Selachimorpha","Picture ID",NA,NA,"Galeocerdonidae",4.42,4.54,4.55999994277954
"160","Isurus oxyrinchus","Isurus oxyrinchus","Selachimorpha","Picture ID",NA,NA,"Lamnidae",4.32,4.5,4.51999998092651
"161","Negaprion brevirostris","Negaprion brevirostris","Selachimorpha","Picture ID",NA,NA,"Carcharhinidae",3.93,4.27,4.26999998092651
"162","Odontaspis ferox","Odontaspis ferox","Selachimorpha","Picture ID",NA,NA,"Odontaspididae",4.16,NA,4.15999984741211
"163","Prionace glauca","Prionace glauca","Selachimorpha","Picture ID",NA,NA,"Carcharhinidae",4.37,4.35,4.34999990463257
"164","Rhizoprionodon acutus","Rhizoprionodon acutus","Selachimorpha","Picture ID",NA,NA,"Carcharhinidae",4.09,4.25,4.25
"165","Centrolophus niger","Centrolophus niger","Teleost","Picture ID","Sem nome local","Sem nome local","Centrolophidae",3.92,NA,3.92000007629395
"166","Bothus lunatus","Bothus lunatus","Teleost","Picture ID","Linguado","Linguado","Bothidae",4.13,4.45,4.44999980926514
"167","Bothus sp.","Bothus lunatus, Bothus podas","Teleost","Picture ID","Linguado","Linguado","Bothidae",NA,NA,3.90999984741211
"168","Syacium guineense","Syacium guineense","Teleost","Picture ID","Linguado","Linguado","Cyclopsettidae",NA,NA,3.29999995231628
"169","Megalops atlanticus","Megalops atlanticus","Teleost","Picture ID",NA,NA,"Megalopidae",3.61,4.5,4.15999984741211
"170","Holocanthus africanus","Holocanthus africanus","Teleost","Picture ID",NA,NA,NA,NA,NA,NA
"171","Dasyatidae","Hypanus rudis, Taeniurops grabatus","Myliobatiformes","Picture ID",NA,NA,"Dasyatidae",NA,NA,3.7849999666214
