"","ntrips_id","island","site","landing_site","ext_worker","date","worked_y.n","reason_not_fishing","other_reason","surface_gillnet","circular_net","purse_seine","surface_gillnet_seine","demersal_gillnet","spear_fishing","hook_line","hook_line_shore"
"149","uuid:4ea645b5-b145-4c10-9201-a62630cd0c5b","PC","AB","abade","judiciley","2021-02-26","sim",NA,NA,0,0,0,0,0,4,2,0
"150","uuid:b1572036-0af1-4a9c-b9f8-f766e85ece3f","PC","AB","abade","judiciley","2021-03-02","sim",NA,NA,0,0,0,0,0,3,1,0
"151","uuid:df1004bf-8050-4d20-a845-54e129eebf99","PC","AB","abade","judiciley","2021-03-05","sim",NA,NA,0,0,1,0,0,3,4,1
"152","uuid:469c86c3-402b-42db-a7d4-da1b3d09b432","PC","AB","abade","judiciley","2021-03-09","sim",NA,NA,0,0,0,0,0,5,8,0
"153","uuid:f18c9a98-b8f8-4ce8-91ec-af338482580a","PC","AB","abade","judiciley","2021-03-12","sim",NA,NA,0,0,0,0,0,3,5,0
"154","uuid:fee31b89-e8b6-45aa-aa94-e2dab5918fe2","PC","AB","abade","judiciley","2021-03-16","sim",NA,NA,0,0,0,0,0,4,3,3
"155","uuid:ed9ad528-a505-425b-8c1c-81c844b4fdba","PC","AB","abade","judiciley","2021-03-19","sim",NA,NA,0,0,0,0,0,3,5,0
"156","uuid:9551d528-e036-4661-ab05-57650794c864","PC","AB","abade","judiciley","2021-03-23","sim",NA,NA,0,0,0,0,0,0,3,0
"157","uuid:09259cf9-3e10-437b-bacd-6cd7f7ab3f9b","PC","AB","abade","judiciley","2021-03-26","sim",NA,NA,1,0,0,0,0,3,6,0
"158","uuid:aa0fe20e-5d4f-4b9b-8332-a40d257c4f29","PC","AB","abade","judiciley","2021-03-30","sim",NA,NA,1,0,1,0,0,0,4,0
"159","uuid:3653370f-38d8-4865-bd4c-ba24efbda2d7","PC","AB","abade","judiciley","2021-04-02","sim",NA,NA,0,0,0,0,1,0,7,0
"160","uuid:b606eb3f-5a45-48a2-a5f8-5ed7b23d74e8","PC","AB","abade","judiciley","2021-04-06","sim",NA,NA,0,0,0,0,0,0,1,0
"161","uuid:bb6d3fe4-7fe3-4e6d-9ead-3568df676293","PC","AB","abade","judiciley","2021-04-09","nao-pesca","mal-tempo",NA,0,0,0,0,0,0,0,0
"162","uuid:ead3f626-899c-44fb-a24e-13b44ddb96f8","PC","AB","abade","judiciley","2021-04-13","sim",NA,NA,0,0,0,0,0,0,2,0
"163","uuid:fe4243f9-3110-4071-8005-b9febe259a39","PC","AB","abade","regina","2021-04-16","sim",NA,NA,0,0,0,0,0,0,7,0
