CODE.ST,CODE.PC,type,species,species_comp,species_comp_source,local_name_ST,local_name_PC
CORVINA-DE-CACA,CORVINA-CACADEIRA,Teleost,Lutjanus endecacanthus,Lutjanus endecacanthus,"FGDs, KIIs, Field observations",Corvina de caça,Corvina caçadeira
VERMELHO-TERRA,VERMELHO-TERRA,Teleost,Lutjanus fulgens,Lutjanus fulgens,"FGDs, KIIs, Field observations",Vermelho terra,Vermelho terra
CORVINA-VERMELHA,CORVINA-VERMELHA,Teleost,Lutjanus goreensis,Lutjanus goreensis,"FGDs, KIIs, Field observations",Corvina vermelha,Corvina vermelha
ESTROMBA,ESTROMBA,Teleost,Makaira nigricans,Makaira nigricans,"FGDs, KIIs, Field observations",Estromba,Estromba
ASNO-PRETO,ASNO-PRETO,Teleost,Melichthys niger,Melichthys niger,"FGDs, KIIs, Field observations",Asno preto,Asno preto
UZUA-MANTA,MARFIM,Mobulidae,Mobula sp.,"Mobula birostris, Mobula birostris","FGDs, KIIs, Field observations",Uzua manta,Marfim
SALMONETE,SALMONETE,Teleost,Mulloidichthys martinicus,Mulloidichthys martinicus,"FGDs, KIIs, Field observations",Sabonete,Sabonete
SABONETE,SABONETE,Teleost,Mulloidichthys martinicus,Mulloidichthys martinicus,"FGDs, KIIs, Field observations",Sabonete,Sabonete
SABONETE-VERMELHO2,SABONETE-VERMELHO2,Teleost,Mullus surmuletus,Mullus surmuletus,"FGDs, KIIs, Field observations",Sabonete vermelho,Sabonete vermelho
MOREIA-MAPINTA,MOREIA-PINTADA,Teleost,Muraena melanotis,Muraena melanotis,"FGDs, KIIs, Field observations",Moreia mapinta,Moreia mapinta
MOREIA-CARRONCA,MOREIA-RONCA,Teleost,Muraena robusta,Muraena robusta,"FGDs, KIIs, Field observations",Moreia carronca,Moreia carronca
MERO2,MERO2,Teleost,Mycteroperca rubra,Mycteroperca rubra,"FGDs, KIIs, Picture ID",Mero,Murianga
COBRA-MARINHA,COBRA-MARINHA,Teleost,Myrichthys pardalis,Myrichthys pardalis,"FGDs, KIIs, Field observations",Cobra marinha,Cobra marinha
MAE-CAQUI,MAE-DE-CAQUI,Teleost,Myripristis jacobus,Myripristis jacobus,"FGDs, KIIs, Field observations",Mae de caqui,Mae de caqui
MAE-DE-CAQUI,MAE-CAQUI,Teleost,Myripristis jacobus,Myripristis jacobus,"FGDs, KIIs, Field observations",Mae de caqui,Mae de caqui
BUZIO-DO-MAR,BUZIO-DO-MAR,Gastropoda,Gastropoda,NA,"FGDs, KIIs, Field observations",Buzio do mar,Buzio do mar
OUTRO-PEIXE,OUTRO-PEIXE,Teleost,Teleost,NA,"FGDs, KIIs, Field observations",NA,NA
TUBARAO-LAGAIA,TUBARAO-LAGAIA,Selachimorpha,Selachimorpha,"Carcharhinus falciformis, Carcharhinus limbatus","FGDs, KIIs, Field observations",Tubarao lagaia,Tubarao lagaia
CAVACO,CAVACO,Crustacean,Crustacean,NA,"FGDs, KIIs, Field observations",Cavaco,Cavaco
UNKNOWN,UNKNOWN,Teleost,Teleost,NA,"FGDs, KIIs, Field observations",NA,NA
TUBARAO,TUBARAO,Selachimorpha,Selachimorpha,"Carcharhinus falciformis, Carcharhinus limbatus","FGDs, KIIs, Field observations",Tubarão,Tubarão
POLVO,POLVO,Cephalopoda,Octopus sp.,"Octopus vulgaris, Octopus insularis","Lima et al, 2023 (https://doi.org/10.1016/j.pocean.2023.103019)",Polvo,Polvo
MOREIA-CONCOM,MOREIA-FUNDO,Teleost,Ophichthus rufus,Ophichthus rufus,"FGDs, KIIs, Field observations",Moreia concom,Moreia concom
MALAGUETA,MALAGUETA,Teleost,Pagellus bellottii,Pagellus bellottii,"FGDs, KIIs, Field observations",Malagueta,Malagueta
PARGO,PARGO,Teleost,Pagrus sp.,"Pagrus caeruleostictus, Pagrus pagrus","FGDs, KIIs, Field observations",Pargo,Pargo
PARGO1,PARGO1,Teleost,Pagrus caeruleostictus,Pagrus caeruleostictus,"FGDs, KIIs, Field observations",Pargo,Pargo
PARGO2,PARGO2,Teleost,Pagrus pagrus,Pagrus pagrus,"FGDs, KIIs, Field observations",Pargo,Pargo
MULATO,MULATO,Teleost,Paranthias furcifer,Paranthias furcifer,"FGDs, KIIs, Field observations",Mulato,Mulato
PEIXE-PORCO,PEIXE-PORCO,Teleost,Plectorhinchus macrolepis,Plectorhinchus macrolepis,"FGDs, KIIs, Field observations",Peixe porco,Peixe porco
CHERNE,CHERNE,Teleost,Polyprion americanus,Polyprion americanus,"FGDs, KIIs, Field observations",Cherne,Cherne
BUJIGO,RONCADOR-DE-FUNDO,Teleost,Pomadasys incisus,Pomadasys incisus,Picture ID,Bujigo,Roncador de fundo
RONCADOR,RONCADOR,Teleost,Pomadasys rogerii,Pomadasys rogerii,"FGDs, KIIs, Field observations",Roncador,Roncador
CANGA,CANGA,Teleost,Pontinus kuhlii,Pontinus kuhlii,"FGDs, KIIs, Field observations",Canga,Canga
VERMELHO-SOL-DE-FUNDO,VERMELHO-SOL-DE-FUNDO,Teleost,Priacanthus arenatus,Priacanthus arenatus,"FGDs, KIIs, Field observations",Vermelho sol de fundo,Vermelho sol de fundo
ASNO-COTA,ASNO-COTA,Teleost,Prionurus biafraensis,Prionurus biafraensis,"FGDs, KIIs, Field observations",Asno cota,Asno cota
SABONETE-VERMELHO,SABONETE-VERMELHO,Teleost,Pseudupeneus prayensis,Pseudupeneus prayensis,"FGDs, KIIs, Field observations",Sabonete vermelho,Sabonete vermelho
RONCADOR-DE-FUNDO,RONCADOR-DE-FUNDO,Teleost,Pseudotolithus sp.,"Pseudotolithus brachygnathus, Pseudotolithus senegallus, Pseudotolithus senegalensis","FGDs, KIIs, Field observations",Roncador de fundo,Roncador de fundo
TUBARAO-PEIXE,TUBARAO-PEIXE,Selachimorpha,Selachimorpha,Rhizoprionodon,"FGDs, KIIs, Field observations",Tubarao peixe,Tubarao peixe
FUNHE,FUNHE,Teleost,Rypticus saponaceus,Rypticus saponaceus,"FGDs, KIIs, Field observations",Funhe,Funhe
SARDINHA,SARDINHA,Teleost,Sardinella sp.,"Sardinella maderensis, Sardinella aurita, Sardinella rouxi","FGDs, KIIs, Field observations",Sardinha,Sardinha
CAQUI-DE-PEDRA,CAQUI-DE-FUNDO,Teleost,Sargocentron hastatum,Sargocentron hastatum,"FGDs, KIIs, Field observations",Caqui de pedra,Caqui de pedra
BULHAO-PAPAGAIO,BULHAO-PAPAGAIO,Teleost,Scarus hoefleri,Scarus hoefleri,"FGDs, KIIs, Field observations",Bulhao papagaio,Bulhao papagaio
PEIXE-SERRA,PEIXE-SERRA,Teleost,Scomberomorus tritor,Scomberomorus tritor,"FGDs, KIIs, Field observations",Peixe serra,Peixe serra
COME-MOLE,COME-MOLE,Teleost,Scorpaena laevis,Scorpaena laevis,"FGDs, KIIs, Field observations",Comê molê,Come mole
CARAPAU,CARAPAU,Teleost,Selar crumenophthalmus,Selar crumenophthalmus,"FGDs, KIIs, Field observations",Carapau,Carapau
PATA-PATA3,PATA-PATA3,Teleost,Selene dorsalis,Selene dorsalis,"FGDs, KIIs, Field observations",Pata pata,Pata pata
CHOCO,CHOCO,Cephalopoda,Sepia sp.,Sepia officinalis,"FGDs, KIIs, Field observations",Choco,Choco
PEIXE-AZEITE,PEIXE-AZEITE,Teleost,Seriola rivoliana,Seriola rivoliana,"FGDs, KIIs, Field observations",Peixe azeite,Peixe azeite
BULHAO-PAPAGAIO2,BULHAO-PAPAGAIO2,Teleost,Sparisoma choati,Sparisoma choati,"FGDs, KIIs, Field observations",Bulhão papagaio; Bulhão sequé,Bulhão papagaio
BULHAO-PAPAGAIO3,BULHAO-PAPAGAIO3,Teleost,Sparisoma rubripinne,Sparisoma rubripinne,"FGDs, KIIs, Field observations",Bulhão papagaio,Bulhão papagaio
BARRACUDA,BARRACUDA,Teleost,Sphyraena barracuda,Sphyraena barracuda,"FGDs, KIIs, Field observations",Barracuda,Barracuda
ALICHOTE,PESCADA,Teleost,Sphyraena sphyraena,Sphyraena sphyraena,"FGDs, KIIs, Field observations",Alichote,Alichote
TUBARAO-MARTELO,TUBARAO-MARTELO,Selachimorpha,Sphyrna sp.,"Sphyrna lewini, Sphyrna couardi","FGDs, KIIs, Field observations",Tubarao martelo,Tubarao martelo
TUBARAO-MARTELO1,TUBARAO-MARTELO1,Selachimorpha,Sphyrna lewini,Sphyrna lewini,"FGDs, KIIs, Field observations",Tubarao martelo,Tubarao martelo
TUBARAO-MARTELO2,TUBARAO-MARTELO2,Selachimorpha,Sphyrna couardi,Sphyrna couardi,"FGDs, KIIs, Field observations",Tubarao martelo,Tubarao martelo
MAZEBE,DOBRADA,Teleost,Spicara sp.,"Spicara melanurus, Spicara nigricauda","FGDs, KIIs, Field observations",Mazebe,Dobrada
RAIA,RAIA,Myliobatiformes,Taeniurops grabatus,Taeniurops grabatus,"FGDs, KIIs, Field observations",Raia,Raia
RAINHA2,RAINHA2,Teleost,Thalassoma newtoni,Thalassoma newtoni,"FGDs, KIIs, Field observations",Rainha,Rainha
ATUM-OLEDE,ATUM-OLEDE,Teleost,Thunnus albacares,Thunnus albacares,"FGDs, KIIs, Field observations",Atum olede,Atum olede
ATUM,ATUM-FOGO,Teleost,Thunnus obesus,Thunnus obesus,"FGDs, KIIs, Field observations",Atum,Atum
PATA-PATA2,PATA-PATA2,Teleost,Trachinotus goreensis,Trachinotus goreensis,"FGDs, KIIs, Field observations",Pata pata,Pata pata
PATA-PATA,PATA-PATA,Teleost,Trachinotus ovatus,Trachinotus ovatus,"FGDs, KIIs, Field observations",Pata pata,Pata pata
